titulo,data_criacao,id_texto,id_video,id_img,id_link
Inovação Resultados Internet Tecnologia Descobe,2024-11-06 19:54:49.738316,53,,,
Inteligência Artificial Tendências Crescimento,2022-05-15 19:54:49.738316,93,,,
Inteligência Artificial Oportunidades Transform,2022-12-11 19:54:49.738316,87,3,,
Digital Resultados Ciência Redes Internet,2024-08-09 19:54:49.738316,29,,4,
Ciência Estudos Oportunidades,2024-04-12 19:54:49.738316,37,,,5
Ciência Soluções Descobertas Oportunidades,2024-05-14 19:54:49.738316,25,6,,
Descobertas Ciência Redes,2023-02-14 19:54:49.738316,95,,,
Inovação Crescimento Desenvolvimento,2023-06-08 19:54:49.738316,36,,8,
Ciência Desenvolvimento Inovação Descobertas Es,2022-11-10 19:54:49.738316,89,9,,
Resultados Mercado Oportunidades,2023-07-10 19:54:49.738316,22,,,10
Estudos Transformação Futuro Internet,2022-11-04 19:54:49.738316,81,,,
Mercado Tecnologia Resultados Inteligência Arti,2024-01-01 19:54:49.738316,71,12,12,
Mercado Desenvolvimento,2023-07-08 19:54:49.738316,11,,,
Inteligência Artificial Futuro Desenvolvimento ,2024-12-07 19:54:49.738316,82,,,
Tecnologia Impacto Inovação Tendências Crescimento,2024-03-01 19:54:49.738316,19,15,,15
Soluções Internet,2023-01-08 19:54:49.738316,65,,16,
Redes Desenvolvimento Mercado Inovação Ciência,2024-04-20 19:54:49.738316,46,,,
Soluções Tendências,2023-06-05 19:54:49.738316,88,18,,
Desenvolvimento Futuro Estudos Internet,2023-04-01 19:54:49.738316,100,,,
Crescimento Estudos Futuro Soluções Desenvolvim,2023-08-31 19:54:49.738316,83,,20,20
Transformação Oportunidades Desenvolvimento Aná,2022-06-25 19:54:49.738316,27,21,,
Resultados Crescimento,2024-11-28 19:54:49.738316,60,,,
Inteligência Artificial Tendências Transformaçã,2024-12-18 19:54:49.738316,24,,,
Ciência Oportunidades,2022-09-29 19:54:49.738316,57,24,24,
Descobertas Ciência,2023-05-05 19:54:49.738316,49,,,25
Inovação Estudos Resultados Transformação Desco,2024-07-08 19:54:49.738316,66,,,
Tendências Soluções Estudos Mercado,2024-03-17 19:54:49.738316,72,27,,
Estudos Transformação Crescimento,2022-04-24 19:54:49.738316,52,,28,
Internet Inteligência Artificial Análise Oportu,2022-08-02 19:54:49.738316,5,,,
Desenvolvimento Inteligência Artificial,2022-06-29 19:54:49.738316,31,30,,30
Soluções Tendências Resultados,2024-07-06 19:54:49.738316,20,,,
Desenvolvimento Inovação Soluções,2024-02-04 19:54:49.738316,98,,32,
Descobertas Estudos Oportunidades Crescimento T,2023-03-31 19:54:49.738316,84,33,,
Digital Ciência Estudos,2024-12-16 19:54:49.738316,92,,,
Mercado Soluções Ciência Digital Tecnologia,2024-01-15 19:54:49.738316,30,,,35
Internet Resultados Soluções Crescimento,2023-07-16 19:54:49.738316,10,36,36,
Estudos Oportunidades Redes,2023-10-03 19:54:49.738316,86,,,
Tendências Inovação Análise,2023-04-19 19:54:49.738316,48,,,
Impacto Inovação,2023-11-07 19:54:49.738316,55,39,,
Internet Descobertas,2023-07-26 19:54:49.738316,28,,40,40
Redes Tendências,2024-04-20 19:54:49.738316,12,,,
Oportunidades Mercado,2024-12-03 19:54:49.738316,68,42,,
Tecnologia Ciência Resultados Internet,2022-09-13 19:54:49.738316,16,,,
Ciência Tendências,2022-07-26 19:54:49.738316,38,,44,
Transformação Inovação Internet Futuro,2024-07-02 19:54:49.738316,14,45,,45
